real_timestamp,Delta t,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
0.635934,-,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10,-4,10.77032961,-10,-4,10.77032961,-10,-4,10.77032961,-9,-4,9.848857802,-8,-4,8.94427191,-8,-5,9.433981132,-8,-4,8.94427191,-8,-4,8.94427191,-7,-5,8.602325267,-7,-4,8.062257748,-7,-4,8.062257748,-6,-3,6.708203932,-7,-4,8.062257748,-7,-3,7.615773106,-7,-2,7.280109889,-7,-3,7.615773106,-7,-3,7.615773106,-6,-2,6.32455532,-7,-2,7.280109889,-7,-2,7.280109889,-8,-2,8.246211251,-8,-2,8.246211251,-7,-1,7.071067812,-8,-2,8.246211251,-8,-1,8.062257748,-9,-2,9.219544457,0,0,0,-9,-1,9.055385138,-9,-2,9.219544457,-9,-1,9.055385138,-9,-1,9.055385138,-10,-1,10.04987562,-10,-1,10.04987562,-10,-2,10.19803903,-11,-1,11.04536102,-11,-1,11.04536102,-11,-1,11.04536102,-12,0,12,-12,-1,12.04159458,-12,-1,12.04159458,-13,0,13,-13,-1,13.03840481,-13,-1,13.03840481,-13,-1,13.03840481,-13,-1,13.03840481,-14,0,14,-14,-1,14.03566885,-13,-2,13.15294644,-14,-1,14.03566885,-15,-1,15.03329638,-15,-2,15.13274595,-15,-2,15.13274595,-15,-1,15.03329638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.642724,0.00679,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,15,19.20937271,10,15,18.02775638,10,15,18.02775638,9,15,17.49285568,9,15,17.49285568,8,15,17,7,15,16.55294536,7,14,15.65247584,6,14,15.23154621,6,13,14.31782106,6,13,14.31782106,6,12,13.41640786,6,12,13.41640786,6,11,12.52996409,6,11,12.52996409,6,11,12.52996409,7,11,13.03840481,6,10,11.66190379,7,10,12.20655562,8,11,13.60147051,8,10,12.80624847,9,10,13.45362405,9,10,13.45362405,10,10,14.14213562,11,11,15.55634919,11,12,16.2788206,0,0,0,11,12,16.2788206,12,12,16.97056275,12,12,16.97056275,12,11,16.2788206,12,12,16.97056275,13,12,17.69180601,13,13,18.38477631,13,13,18.38477631,14,13,19.10497317,15,13,19.84943324,15,14,20.51828453,15,13,19.84943324,16,14,21.26029163,17,14,22.02271555,17,15,22.6715681,18,16,24.08318916,18,15,23.43074903,18,16,24.08318916,19,17,25.49509757,19,18,26.17250466,19,18,26.17250466,19,18,26.17250466,19,19,26.87005769,20,19,27.58622845,19,19,26.87005769,19,20,27.58622845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.656791,0.014067,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-21,6,21.84032967,-21,5,21.58703314,-21,4,21.37755833,-21,3,21.21320344,-20,2,20.09975124,-20,2,20.09975124,-19,2,19.10497317,-18,0,18,-18,0,18,-17,0,17,-18,0,18,-18,0,18,-17,1,17.02938637,-16,1,16.03121954,-15,1,15.03329638,-15,2,15.13274595,-15,1,15.03329638,-14,2,14.14213562,-15,3,15.29705854,-16,3,16.2788206,-16,4,16.4924225,-16,4,16.4924225,-15,5,15.8113883,-16,5,16.76305461,-17,5,17.72004515,-18,6,18.97366596,0,0,0,-19,6,19.92485885,-18,6,18.97366596,-19,6,19.92485885,-19,7,20.24845673,-19,8,20.61552813,-21,6,21.84032967,-20,6,20.88061302,-21,7,22.13594362,-20,7,21.1896201,-22,7,23.08679276,-22,9,23.76972865,-22,9,23.76972865,-22,10,24.16609195,-24,9,25.63201124,-24,10,26,-25,9,26.57066051,-26,10,27.85677655,-27,10,28.7923601,-27,9,28.46049894,-28,9,29.41088234,-28,8,29.12043956,-33,10,34.4818793,-32,8,32.984845,-32,8,32.984845,-35,7,35.6931366,-25,9,26.57066051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.668472,0.011681,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-1,-19,19.02629759,0,-19,19,0,-18,18,1,-18,18.02775638,1,-17,17.02938637,2,-16,16.1245155,2,-16,16.1245155,3,-16,16.2788206,2,-15,15.13274595,3,-14,14.31782106,1,-15,15.03329638,2,-14,14.14213562,2,-14,14.14213562,1,-13,13.03840481,1,-13,13.03840481,1,-13,13.03840481,0,-13,13,0,-13,13,-1,-13,13.03840481,-1,-14,14.03566885,-2,-14,14.14213562,-2,-14,14.14213562,-2,-14,14.14213562,-3,-15,15.29705854,-3,-15,15.29705854,-3,-16,16.2788206,0,0,0,-3,-16,16.2788206,-4,-16,16.4924225,-4,-17,17.4642492,-4,-16,16.4924225,-4,-17,17.4642492,-5,-18,18.68154169,-5,-18,18.68154169,-5,-18,18.68154169,-5,-18,18.68154169,-5,-19,19.6468827,-7,-19,20.24845673,-6,-19,19.92485885,-7,-19,20.24845673,-7,-20,21.1896201,-7,-21,22.13594362,-7,-21,22.13594362,-8,-22,23.40939982,-8,-23,24.35159132,-7,-24,25,-7,-23,24.04163056,-7,-24,25,-7,-24,25,-7,-25,25.96150997,-8,-26,27.20294102,-8,-25,26.2488095,-7,-26,26.92582404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.691587,0.023115,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,13,2,13.15294644,13,2,13.15294644,13,2,13.15294644,12,3,12.36931688,13,3,13.34166406,12,3,12.36931688,11,4,11.70469991,11,3,11.40175425,11,3,11.40175425,11,4,11.70469991,10,3,10.44030651,10,3,10.44030651,9,3,9.486832981,10,3,10.44030651,9,4,9.848857802,10,2,10.19803903,9,2,9.219544457,8,2,8.246211251,10,2,10.19803903,10,1,10.04987562,10,2,10.19803903,11,0,11,11,1,11.04536102,11,1,11.04536102,11,1,11.04536102,11,1,11.04536102,0,0,0,12,1,12.04159458,13,0,13,12,0,12,13,-1,13.03840481,13,0,13,14,0,14,13,0,13,15,0,15,14,0,14,15,0,15,15,-1,15.03329638,16,0,16,15,0,15,16,0,16,17,0,17,16,-1,16.03121954,18,0,18,18,0,18,18,0,18,18,0,18,19,1,19.02629759,19,1,19.02629759,20,2,20.09975124,20,1,20.02498439,20,1,20.02498439,19,2,19.10497317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.711848,0.020261,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-14,6,15.23154621,-13,6,14.31782106,-14,6,15.23154621,-13,5,13.92838828,-14,5,14.86606875,-13,5,13.92838828,-13,4,13.60147051,-12,4,12.64911064,-13,3,13.34166406,-12,4,12.64911064,-11,4,11.70469991,-11,4,11.70469991,-11,4,11.70469991,-11,4,11.70469991,-11,4,11.70469991,-11,4,11.70469991,-10,4,10.77032961,-10,4,10.77032961,-10,5,11.18033989,-10,5,11.18033989,-10,6,11.66190379,-10,5,11.18033989,-10,6,11.66190379,-10,7,12.20655562,-11,6,12.52996409,-11,7,13.03840481,0,0,0,-11,7,13.03840481,-12,7,13.89244399,-12,8,14.4222051,-12,7,13.89244399,-11,8,13.60147051,-12,8,14.4222051,-12,9,15,-12,9,15,-12,9,15,-12,10,15.62049935,-12,10,15.62049935,-12,11,16.2788206,-13,11,17.02938637,-14,11,17.80449381,-14,10,17.20465053,-14,11,17.80449381,-14,12,18.43908891,-14,12,18.43908891,-15,12,19.20937271,-15,12,19.20937271,-16,13,20.61552813,-16,12,20,-16,12,20,-16,13,20.61552813,-17,12,20.80865205,-18,12,21.63330765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02665,0.314802,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-9,9,12.72792206,-9,8,12.04159458,-8,8,11.3137085,-7,6,9.219544457,-6,5,7.810249676,-5,5,7.071067812,-5,5,7.071067812,-4,4,5.656854249,-3,3,4.242640687,-2,3,3.605551275,-1,3,3.16227766,-1,3,3.16227766,1,2,2.236067977,2,3,3.605551275,3,3,4.242640687,4,4,5.656854249,4,4,5.656854249,6,5,7.810249676,7,5,8.602325267,8,6,10,7,7,9.899494937,8,7,10.63014581,9,8,12.04159458,9,10,13.45362405,9,9,12.72792206,9,10,13.45362405,0,0,0,9,11,14.2126704,9,12,15,10,12,15.62049935,10,12,15.62049935,10,12,15.62049935,10,12,15.62049935,12,14,18.43908891,12,14,18.43908891,12,13,17.69180601,13,14,19.10497317,14,15,20.51828453,14,15,20.51828453,14,16,21.26029163,16,17,23.34523506,17,17,24.04163056,17,17,24.04163056,18,19,26.17250466,18,19,26.17250466,19,20,27.58622845,20,20,28.28427125,20,21,29,20,21,29,21,23,31.144823,21,24,31.89043744,20,24,31.2409987,21,24,31.89043744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1667,0.14005,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,-15,16.55294536,7,-13,14.76482306,7,-13,14.76482306,8,-12,14.4222051,7,-12,13.89244399,8,-12,14.4222051,8,-11,13.60147051,8,-9,12.04159458,7,-11,13.03840481,7,-10,12.20655562,6,-9,10.81665383,7,-10,12.20655562,6,-11,12.52996409,5,-10,11.18033989,5,-10,11.18033989,4,-10,10.77032961,4,-10,10.77032961,4,-10,10.77032961,5,-11,12.08304597,6,-10,11.66190379,5,-12,13,5,-12,13,5,-12,13,4,-12,12.64911064,5,-14,14.86606875,6,-13,14.31782106,0,0,0,6,-13,14.31782106,6,-13,14.31782106,7,-13,14.76482306,5,-13,13.92838828,6,-14,15.23154621,7,-13,14.76482306,6,-13,14.31782106,5,-14,14.86606875,6,-14,15.23154621,6,-14,15.23154621,6,-15,16.15549442,5,-15,15.8113883,5,-15,15.8113883,6,-16,17.08800749,6,-16,17.08800749,6,-17,18.02775638,6,-17,18.02775638,6,-17,18.02775638,7,-17,18.38477631,7,-18,19.31320792,7,-18,19.31320792,7,-18,19.31320792,8,-19,20.61552813,8,-19,20.61552813,9,-19,21.02379604,9,-19,21.02379604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66886,0.50216,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,-13,20.61552813,20,-14,24.41311123,19,-15,24.20743687,21,-15,25.8069758,22,-15,26.62705391,24,-14,27.78488798,25,-14,28.65309756,26,-12,28.63564213,27,-15,30.88689042,26,-12,28.63564213,28,-14,31.30495168,28,-15,31.76476035,29,-14,32.20248438,29,-14,32.20248438,30,-11,31.95309062,26,-12,28.63564213,28,-11,30.08321791,24,-10,26,25,-8,26.2488095,23,-8,24.35159132,23,-5,23.53720459,19,-7,20.24845673,18,-7,19.31320792,18,-3,18.24828759,14,-7,15.65247584,12,-7,13.89244399,0,0,0,9,-4,9.848857802,6,-5,7.810249676,7,-1,7.071067812,5,-4,6.403124237,3,-4,5,1,0,1,1,-1,1.414213562,-1,1,1.414213562,-3,1,3.16227766,-1,1,1.414213562,-5,2,5.385164807,-5,5,7.071067812,-7,7,9.899494937,-7,9,11.40175425,-6,10,11.66190379,-9,11,14.2126704,-7,13,14.76482306,-8,15,17,-9,16,18.35755975,-9,17,19.23538406,-9,20,21.9317122,-9,20,21.9317122,-8,22,23.40939982,-8,24,25.29822128,-6,24,24.73863375,-6,26,26.68332813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02464,0.35578,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,-5,23.53720459,22,-3,22.20360331,22,-2,22.09072203,22,-2,22.09072203,21,-1,21.02379604,20,0,20,19,1,19.02629759,18,1,18.02775638,19,2,19.10497317,18,2,18.11077028,16,2,16.1245155,16,3,16.2788206,16,3,16.2788206,15,3,15.29705854,14,2,14.14213562,13,2,13.15294644,12,2,12.16552506,11,2,11.18033989,11,1,11.04536102,11,1,11.04536102,11,0,11,11,-1,11.04536102,10,-1,10.04987562,10,-2,10.19803903,10,-2,10.19803903,10,-3,10.44030651,0,0,0,9,-4,9.848857802,9,-4,9.848857802,9,-5,10.29563014,8,-5,9.433981132,8,-5,9.433981132,8,-6,10,7,-7,9.899494937,7,-8,10.63014581,7,-8,10.63014581,6,-9,10.81665383,6,-9,10.81665383,6,-10,11.66190379,6,-10,11.66190379,6,-12,13.41640786,6,-12,13.41640786,6,-13,14.31782106,6,-14,15.23154621,7,-15,16.55294536,7,-15,16.55294536,7,-16,17.4642492,7,-16,17.4642492,7,-17,18.38477631,8,-17,18.78829423,8,-17,18.78829423,9,-18,20.1246118,9,-18,20.1246118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
